lei,scope,refPeriod,bank_name,country,institution_type,trea_eur,lr_exposure_eur,rwa_density,ov1_total_eur,ov1_abweichung,ov1_teile_summe,ov1_teile_stimmt,anteil_kredit,anteil_ccr,anteil_markt,anteil_operationell,kredit_sa_anteil,kredit_irb_anteil,ansatz,skalenverdacht,plausibel
213800984CWACNBY8F31,IND,2025-12-31,Sparekassen for Nr. Nebel og Omegn,Denmark,Other highest EEA,160309549.36,409804940.1,0.3912,160309549.36,0.0,160309549.36,true,0.7026,0.0009,0.1785,0.1172,1.0,,SA,unbekannt,true
2138009Y59EAR7H1UO97,CON,2025-06-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,2608029616.56,5157385000.49,0.5057,2608029616.56,0.0,2608029616.56,true,0.8783,0.0025,0.0012,0.1167,1.0,,SA,false,true
2138009Y59EAR7H1UO97,CON,2025-09-30,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,2641443855.81,5355441868.4,0.4932,2641443855.81,0.0,2641443855.81,true,0.8793,0.0025,0.0019,0.1153,1.0,,SA,false,true
2138009Y59EAR7H1UO97,CON,2025-12-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,2716369482.21,5461767014.86,0.4973,2716369482.21,0.0,2716369482.21,true,0.8805,0.0025,0.001,0.1148,1.0,,SA,false,true
2138009Y59EAR7H1UO97,CON,2026-03-31,"Akciju sabiedrība ""Citadele banka""",Latvia,Large highest EEA,2743289145.96,5442472729.55,0.5041,2743289145.96,0.0,2743289145.96,true,0.8792,0.0036,0.0019,0.1137,1.0,,SA,false,true
213800A1O379I6DMCU10,IND,2025-06-30,APS BANK P.L.C.,Malta,Large highest EEA,1878198367.48,4428191538.65,0.4241,1878198.37,0.999,1878198.37,true,0.9332,0.0,0.0,0.0668,1.0,,SA,false,true
213800A1O379I6DMCU10,IND,2025-09-30,APS BANK P.L.C.,Malta,Large highest EEA,1906849501.72,4489808728.59,0.4247,1906849501.72,0.0,1906849501.72,true,0.9342,0.0,0.0,0.0658,1.0,,SA,false,true
213800A1O379I6DMCU10,IND,2025-12-31,APS BANK P.L.C.,Malta,Large highest EEA,1853672300.14,4755060268.29,0.3898,1853672300.14,0.0,1853672300.14,true,0.9276,,0.0,0.0723,1.0,,SA,false,true
213800A1O379I6DMCU10,IND,2026-03-31,APS BANK P.L.C.,Malta,Large highest EEA,1921119393.99,4830300126.21,0.3977,1921119393.99,0.0,1921119393.98,true,0.9302,,0.0,0.0698,1.0,,SA,false,true
213800C78WI8VFJCYR09,IND,2025-12-31,Sparekassen Bredebro,Denmark,Other highest EEA,166879379.8,499198093.23,0.3343,166879379.8,0.0,166879379.8,true,0.8367,,0.0276,0.1357,1.0,,SA,unbekannt,true
