lei,name,land,ezb_kopf_lei,ezb_kopf_name,gleif_kopf_lei,gleif_kopf_name,ezb_kopf_ist_selbst,gleif_kopf_in_ezb_liste,urteil
549300YW95G1VBBGGV07,"AS ""SEB banka""",Latvia,549300YW95G1VBBGGV07,"AS ""SEB banka""",F3JS33DEI6XQ4ZBPTN86,,ja,nein,ssm_schnitt
549300Z7V2WOFIMUEK50,UniCredit Bulbank AD,Bulgaria,549300TRUWO2CD2G5692,UniCredit S.p.A.,549300TRUWO2CD2G5692,UniCredit S.p.A.,nein,ja,identisch
549300ZHFZ4CSK7VS460,Privredna banka Zagreb d.d.,Croatia,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,2W8N8UU78PMDQKZENC08,Intesa Sanpaolo S.p.A.,nein,ja,identisch
549300ZK53CNGEEI6A29,J.P. Morgan SE,Germany,549300ZK53CNGEEI6A29,J.P. Morgan SE,8I5DZWZKVSZI1NUHU748,,ja,nein,ssm_schnitt
635400JLGKETPVVGPW53,De Lage Landen International B.V.,Netherlands,DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.,DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.,nein,ja,identisch
6TJCK1B7E7UTXP528Y04,Citigroup Global Markets Europe AG,Germany,6TJCK1B7E7UTXP528Y04,Citigroup Global Markets Europe AG,6SHGI4ZSSLCXXQSBB395,,ja,nein,ssm_schnitt
7D9EHZL14BBPJWTN6S08,BHW Bausparkasse AG,Germany,7LTWFZYICNSX8D621K86,Deutsche Bank AG,7LTWFZYICNSX8D621K86,Deutsche Bank AG,nein,ja,identisch
8156007D348794DB1690,Crédit Agricole Italia S.p.A.,Italy,969500TJ5KRTCJQWXH05,Crédit Agricole S.A.,969500TJ5KRTCJQWXH05,Crédit Agricole S.A.,nein,ja,identisch
815600DDCE9083CAC598,Mediobanca Premier S.p.A.,Italy,J4CP7MHCXR8DAQMKIL78,BANCA MONTE DEI PASCHI DI SIENA S.p.A.,J4CP7MHCXR8DAQMKIL78,BANCA MONTE DEI PASCHI DI SIENA S.p.A.,nein,ja,identisch
8IBZUGJ7JPLH368JE346,Goldman Sachs Bank Europe SE,Germany,8IBZUGJ7JPLH368JE346,Goldman Sachs Bank Europe SE,784F5XWPLTWKTBV3E584,,ja,nein,ssm_schnitt
96950001WI712W7PQG45,RCI Banque SA,France,96950001WI712W7PQG45,RCI Banque SA,969500F7JLTX36OUI695,,ja,nein,ssm_schnitt
96950041VJ1QP0B69503,Crédit Mutuel Arkéa,France,9695000CG7B84NLR5984,Confédération Nationale du Crédit Mutuel,9695000CG7B84NLR5984,Confédération Nationale du Crédit Mutuel,nein,ja,identisch
96950066U5XAAIRCPA78,La Banque Postale,France,96950066U5XAAIRCPA78,La Banque Postale,969500Q2PFTTP0Y5QL44,,ja,nein,ssm_schnitt
969500A9SZ8YP1810S21,Caisse d’Épargne et de Prévoyance Aquitaine Poitou- Charentes,France,9695005MSX1OYEMGDF46,BPCE S.A.,9695005MSX1OYEMGDF46,BPCE S.A.,nein,ja,identisch
