lei,scope,refPeriod,bank_name,country,institution_type,kredite_eur,npe_eur,npl_quote,forborne_performing_eur,vorstufe_quote,forborne_non_performing_eur,npf_quote,vorstufe_verhaeltnis,wb_npe_eur,wb_vorzeichen,deckungsquote,npl_unter_median,fruehwarnung
529900B4OR3PD4V3AQ57,CON,2025-12-31,Finanzholding der Sparkasse in Bremen,Germany,Other highest EEA,11115182210.13,394029940.83,0.035450,110679624.98,0.009958,156296151.55,0.014062,0.2809,-166102536.17,negativ,0.421548,nein,nein
529900B91AUH0YTEXN10,IND,2025-12-31,National-Bank Aktiengesellschaft,Germany,Other highest EEA,4011179013.13,142459869.89,0.035516,64995710.26,0.016204,93240532.40,0.023245,0.4562,-56046182.94,negativ,0.393417,nein,nein
529900BHRYZ464GFD289,CON,2025-12-31,GRENKE AG,Germany,Other highest EEA,8216156319.26,888389756.78,0.108127,4773919.82,0.000581,8953340.03,0.001090,0.0054,-522194962.42,negativ,0.587799,nein,nein
529900BI5KIGX6YLX375,CON,2025-12-31,Oberösterreichische Landesbank Aktiengesellschaft,Austria,Other highest EEA,7033130.25,184071.50,0.026172,67680.11,0.009623,122397.34,0.017403,0.3677,-39006.62,negativ,0.211910,nein,nein
529900BIK4WRWS06MR52,IND,2025-12-31,Varengold Bank AG,Germany,Other highest EEA,565224414.84,3383153.50,0.005986,,,,,,-2028195.52,negativ,0.599499,ja,nein
529900C3SHT3Q94H3W82,CON,2025-12-31,Bank11 Holding GmbH,Germany,Other highest EEA,7114779035.13,162374124.24,0.022822,158817686.19,0.022322,54497236.14,0.007660,0.9781,-87704439.63,negativ,0.540138,ja,nein
529900C9OP6Y0DPYSK11,IND,2025-12-31,VR Bank RheinAhrEifel eG,Germany,Other highest EEA,5121281303.26,159140642.05,0.031074,10830454.97,0.002115,13567808.10,0.002649,0.0681,-72101054.81,negativ,0.453065,nein,nein
529900CJAJ0HDPPKUI53,IND,2025-12-31,Nassauische Sparkasse,Germany,Other highest EEA,11048560995.47,211854676.87,0.019175,48345116.89,0.004376,64618523.02,0.005849,0.2282,-62265813.77,negativ,0.293908,nein,nein
529900D5G4V6THXC5P79,IND,2025-12-31,Hrvatska poštanska banka d.d.,Croatia,Large highest EEA,3894752133.34,196407519.57,0.050429,17549674.76,0.004506,50790689.94,0.013041,0.0894,-145352688.52,negativ,0.740057,nein,nein
529900DEAYRUPP22B339,CON,2025-12-31,Mercedes-Benz Bank AG,Germany,Other highest EEA,9808000000.00,299000000.00,0.030485,3000000.00,0.000306,2000000.00,0.000204,0.0100,-76000000.00,negativ,0.254181,nein,nein
529900DPOQPLDSF3R482,CON,2025-12-31,Kaiser Partner Privatbank AG,Liechtenstein,Other highest EEA,517366314.59,8375.94,0.000016,,,,,,-8375.94,negativ,1.000000,ja,nein
529900DSIVJWCUQUMP41,IND,2025-12-31,AKA Ausfuhrkredit-Gesellschaft mit beschränkter Haftung,Germany,Other highest EEA,3599634092.50,292177502.19,0.081169,3599535.18,0.001000,50432243.94,0.014010,0.0123,-35449141.63,negativ,0.121327,nein,nein
529900DXTOU2U9IZDY54,IND,2025-12-31,meine Volksbank Raiffeisenbank eG,Germany,Other highest EEA,9689338446.98,251918768.35,0.026000,39824043.06,0.004110,81035528.58,0.008363,0.1581,-82026824.85,negativ,0.325608,nein,nein
529900E0WY09Z3H21393,IND,2025-12-31,VR Bank Rhein-Neckar eG,Germany,Other highest EEA,3469890623.11,71664200.53,0.020653,19473624.20,0.005612,25590268.78,0.007375,0.2717,-16327413.16,negativ,0.227832,nein,nein
529900EKPN8EYA3AX590,IND,2025-12-31,Texim Bank AD,Bulgaria,Other highest EEA,154802721.90,1287964.70,0.008320,64423.80,0.000416,755701.40,0.004882,0.0500,-487780.20,negativ,0.378722,ja,nein
529900EM0ZU25V87GD50,IND,2025-12-31,ALTE LEIPZIGER Bauspar AG,Germany,Other highest EEA,1791834765.18,6111913.78,0.003411,231741.34,0.000129,,,0.0379,-1876447.36,negativ,0.307015,ja,nein
529900FEID5L4H2T2L70,IND,2025-12-31,Raiffeisen Landesbank Vorarlberg mit Revisionsverband eGen,Austria,Other highest EEA,3857.87,63.80,0.016538,46.39,0.012025,39.14,0.010145,0.7271,-22.56,negativ,0.353605,ja,nein
529900FZWXWNKF3O8394,CON,2025-12-31,Sparekassen Thy,Denmark,Other highest EEA,1039258847.60,49475451.98,0.047606,7055956.73,0.006789,20941337.21,0.020150,0.1426,-17472628.25,negativ,0.353158,nein,nein
529900GGYMNGRQTDOO93,CON,2025-12-31,BNG Bank N.V.,Netherlands,Large highest EEA,102350633458.71,350728305.59,0.003427,161737978.46,0.001580,70509775.71,0.000689,0.4611,-70664025.52,negativ,0.201478,ja,nein
529900GM944JT8YIRL63,IND,2025-12-31,Münchener Hypothekenbank eG,Germany,Large highest EEA,45895810265.70,1069467419.18,0.023302,438172240.76,0.009547,674327423.10,0.014693,0.4097,-241035747.41,negativ,0.225379,nein,nein
529900HC4LDSGK0NCJ85,IND,2025-12-31,LBS Landesbausparkasse NordWest,Germany,Other highest EEA,14201523701.35,88701563.42,0.006246,24616075.53,0.001733,18363130.36,0.001293,0.2775,-14779567.32,negativ,0.166621,ja,nein
529900HEKOENJHPNN480,CON,2025-12-31,Kuntarahoitus Oyj,Finland,Large highest EEA,41379882000.00,454168000.00,0.010976,407492000.00,0.009848,250261000.00,0.006048,0.8972,-655000.00,negativ,0.001442,ja,nein
