lei,name,typ,land,signifikanz,gruppenkopf_lei,gruppenkopf_name,im_bestand,gruppe_im_bestand,einordnung,namenstreffer
529900L89TGSPV9OU151,Porsche Bank Aktiengesellschaft,CI,Austria,LSI,,,true,false,meldet_selbst,
529900LKC78RCPF4OP49,Raiffeisenbank Hohe Tauern eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900LU7D396TOO3B50,Raiffeisenverband Salzburg eGen,CI,Austria,LSI,,,true,false,meldet_selbst,
529900LX5BCXIMF39933,"Raiffeisenkasse Schlitters, Bruck und Straß registrierte Genossenschaft mit beschränkter Haftung",CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900LYICCHVV23LU18,"Raiffeisenbank Grafenstein-Magdalensberg und Umgebung, registrierte Genossenschaft mit beschränkter Haftung",CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900LYL30YXPC9A987,"Raiffeisen-Bezirksbank Spittal/Drau, registrierte Genossenschaft mit beschränkter Haftung",CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900MNB4WYVQMHEP34,Raiffeisenbank Tirol Mitte West eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900MOXX01XJZWOQ09,Raiffeisenbank Salzkammergut eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900MTQXTM5IIGOI81,Generali Bank AG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900MTWFN2HIFCZ902,Satere Beteiligungsverwaltungs GmbH,FH,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900MZNQDC3A3WSZ72,Liechtensteinische Landesbank (Österreich) AG,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900N9C4Q1U8GYMT96,Raiffeisenbank Flachgau Mitte eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900N9DET1J9AK9J78,Raiffeisenbank Region Schwechat eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
529900NGXFVA0XEAJM19,Raiffeisenbank Langenlois eGen,CI,Austria,LSI,,,false,false,keine_gruppe_bekannt,
