lei,bank_name,country,consolidation,refdate,submission_ts,im_xbrl_bestand,url
213800X3Q9LSAKRUWY91,KBC Groupe,BE,CON,2025-09-30,20250202131402003,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800X3Q9LSAKRUWY91.CON_BE_PILLAR3010000_P3NONREMDISDOCS_2025-09-30_20250202131402003.zip
213800X3Q9LSAKRUWY91,KBC Groupe,BE,CON,2025-12-31,20260414131402003,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800X3Q9LSAKRUWY91.CON_BE_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260414131402003.zip
213800X3Q9LSAKRUWY91,KBC Groupe,BE,CON,2025-12-31,20260518131402003,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/213800X3Q9LSAKRUWY91.CON_BE_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260518131402003.zip
213800X3Q9LSAKRUWY91,KBC Groupe,BE,CON,2026-03-31,20260612083030000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/213800X3Q9LSAKRUWY91.CON_BE_PILLAR3010000_P3NONREMDISDOCS_2026-03-31_20260612083030000.zip
22210058UCKT3BJTCN24,OTP Luxembourg S.à r.l.,SI,CON,2025-06-30,20260310104410850,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/22210058UCKT3BJTCN24.CON_SI_PILLAR3010000_P3NONREMDISDOCS_2025-06-30_20260310104410850.zip
22210058UCKT3BJTCN24,OTP Luxembourg S.à r.l.,SI,CON,2025-12-31,20260409054410850,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/22210058UCKT3BJTCN24.CON_SI_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260409054410850.zip
22210058UCKT3BJTCN24,OTP Luxembourg S.à r.l.,SI,CON,2025-12-31,20260520134410850,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/22210058UCKT3BJTCN24.CON_SI_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260520134410850.zip
222100PG81CES7H3HZ28,Aneto S.à r.l.,ES,CON,2025-12-31,20260626205200000,true,https://errp.eba.europa.eu/public-documents/P3REMDISDOCS/input/222100PG81CES7H3HZ28.CON_ES_PILLAR3010000_P3REMDISDOCS_2025-12-31_20260626205200000.zip
222100PG81CES7H3HZ28,Aneto S.à r.l.,ES,CON,2025-12-31,20260626205300000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/222100PG81CES7H3HZ28.CON_ES_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260626205300000.zip
222100V03Y766EM5TZ83,Brown Brothers Harriman (Luxembourg) S.C.A.,LU,IND,2025-12-31,20260428124000000,true,https://errp.eba.europa.eu/public-documents/P3NONREMDISDOCS/input/222100V03Y766EM5TZ83.IND_LU_PILLAR3010000_P3NONREMDISDOCS_2025-12-31_20260428124000000.zip
