datapoint_code,frequency,label,unit,template
dp475268,2,[TODO: DPM lookup] dp475268,[TODO],[TODO]
dp475269,1,[TODO: DPM lookup] dp475269,[TODO],[TODO]
dp475270,7,[TODO: DPM lookup] dp475270,[TODO],[TODO]
dp475278,2,[TODO: DPM lookup] dp475278,[TODO],[TODO]
dp475280,2,[TODO: DPM lookup] dp475280,[TODO],[TODO]
dp475282,2,[TODO: DPM lookup] dp475282,[TODO],[TODO]
dp475283,2,[TODO: DPM lookup] dp475283,[TODO],[TODO]
dp475284,2,[TODO: DPM lookup] dp475284,[TODO],[TODO]
dp475286,2,[TODO: DPM lookup] dp475286,[TODO],[TODO]
dp475288,2,[TODO: DPM lookup] dp475288,[TODO],[TODO]
dp475290,2,[TODO: DPM lookup] dp475290,[TODO],[TODO]
dp475291,2,[TODO: DPM lookup] dp475291,[TODO],[TODO]
dp475292,2,[TODO: DPM lookup] dp475292,[TODO],[TODO]
dp475316,2,[TODO: DPM lookup] dp475316,[TODO],[TODO]
dp475318,2,[TODO: DPM lookup] dp475318,[TODO],[TODO]
dp475320,2,[TODO: DPM lookup] dp475320,[TODO],[TODO]
dp475321,1,[TODO: DPM lookup] dp475321,[TODO],[TODO]
dp475322,8,[TODO: DPM lookup] dp475322,[TODO],[TODO]
dp475324,2,[TODO: DPM lookup] dp475324,[TODO],[TODO]
dp475326,2,[TODO: DPM lookup] dp475326,[TODO],[TODO]
dp475328,2,[TODO: DPM lookup] dp475328,[TODO],[TODO]
dp475329,4,[TODO: DPM lookup] dp475329,[TODO],[TODO]
dp475330,7,[TODO: DPM lookup] dp475330,[TODO],[TODO]
dp475332,2,[TODO: DPM lookup] dp475332,[TODO],[TODO]
dp475333,2,[TODO: DPM lookup] dp475333,[TODO],[TODO]
dp475334,2,[TODO: DPM lookup] dp475334,[TODO],[TODO]
dp475336,2,[TODO: DPM lookup] dp475336,[TODO],[TODO]
dp475337,2,[TODO: DPM lookup] dp475337,[TODO],[TODO]
dp475338,2,[TODO: DPM lookup] dp475338,[TODO],[TODO]
dp475423,4,[TODO: DPM lookup] dp475423,[TODO],[TODO]
dp475424,17,[TODO: DPM lookup] dp475424,[TODO],[TODO]
dp475425,15,[TODO: DPM lookup] dp475425,[TODO],[TODO]
dp475426,1,[TODO: DPM lookup] dp475426,[TODO],[TODO]
dp475427,11,[TODO: DPM lookup] dp475427,[TODO],[TODO]
dp475428,12,[TODO: DPM lookup] dp475428,[TODO],[TODO]
dp475429,8,[TODO: DPM lookup] dp475429,[TODO],[TODO]
dp475430,15,[TODO: DPM lookup] dp475430,[TODO],[TODO]
